                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.41962,                 1.0734,                0.39734,                 0.7726,                0.41495,                0.53205,                0.29516,                0.41597,                 1.0954,                0.45428,                 0.0001,                 0.0001,                 0.0001
                     36,                0.41241,                 1.0776,                 0.3857,                0.74881,                0.42152,                0.53345,                0.29829,                0.42301,                 1.0759,                0.45442,                 0.0001,                 0.0001,                 0.0001
                     37,                0.41157,                 1.0602,                0.38307,                 0.7398,                0.42422,                0.53118,                  0.294,                0.42179,                 1.0747,                 0.4535,                 0.0001,                 0.0001,                 0.0001
                     38,                 0.4103,                 1.0504,                0.38847,                0.43621,                0.47831,                0.53363,                 0.2982,                0.41448,                 1.0881,                0.43899,                 0.0001,                 0.0001,                 0.0001
                     39,                0.40618,                 1.0565,                0.37708,                0.73596,                0.45191,                0.54995,                 0.3078,                0.40388,                    1.1,                0.43308,                 0.0001,                 0.0001,                 0.0001
                     40,                0.41296,                 1.0365,                0.38896,                0.55776,                0.44399,                0.55031,                0.30993,                0.40438,                 1.0811,                0.44286,                 0.0001,                 0.0001,                 0.0001
                     41,                0.41455,                 1.0604,                0.38438,                0.67887,                0.44948,                0.53985,                0.30604,                0.40739,                 1.0788,                0.44701,                 0.0001,                 0.0001,                 0.0001
                     42,                0.40482,                 1.0272,                0.37677,                0.66115,                0.45673,                0.53626,                0.30391,                0.40923,                 1.0744,                0.44597,                 0.0001,                 0.0001,                 0.0001
                     43,                0.40113,                 1.0521,                0.37635,                 0.7005,                0.48267,                0.55755,                0.31137,                0.40418,                 1.0558,                0.44933,                 0.0001,                 0.0001,                 0.0001
                     44,                0.41565,                 1.0143,                0.38764,                  0.715,                0.46865,                0.55769,                0.31158,                 0.4021,                 1.0607,                 0.4436,                 0.0001,                 0.0001,                 0.0001
                     45,                0.41695,                  1.038,                 0.3912,                0.70072,                0.47213,                0.55343,                0.30987,                0.40009,                 1.0682,                0.43678,                 0.0001,                 0.0001,                 0.0001
                     46,                0.40564,                 1.0153,                0.38478,                0.73671,                0.45399,                0.54641,                0.30807,                0.40456,                  1.063,                0.43915,                 0.0001,                 0.0001,                 0.0001
                     47,                0.40056,                 1.0368,                0.37836,                0.69231,                 0.4686,                0.55116,                  0.314,                0.40628,                 1.0636,                0.43938,                 0.0001,                 0.0001,                 0.0001
                     48,                0.40171,                  1.037,                0.37347,                0.70044,                0.47275,                0.54858,                0.31302,                0.40448,                 1.0576,                0.43592,                 0.0001,                 0.0001,                 0.0001
                     49,                0.40184,                 1.0081,                0.37777,                0.69853,                0.46966,                0.55418,                0.31179,                0.40003,                 1.0665,                0.43881,                 0.0001,                 0.0001,                 0.0001
                     50,                0.40378,                 1.0012,                0.37855,                0.72819,                0.47091,                0.55406,                0.31505,                0.40098,                 1.0679,                0.43422,                 0.0001,                 0.0001,                 0.0001
                     51,                0.40018,                 1.0122,                0.37523,                0.70497,                 0.4789,                0.55113,                0.31394,                 0.4032,                 1.0635,                0.43803,                 0.0001,                 0.0001,                 0.0001
                     52,                0.39477,                 1.0138,                0.37418,                0.71457,                0.47435,                0.55383,                0.31372,                0.40423,                 1.0613,                0.43872,                 0.0001,                 0.0001,                 0.0001
                     53,                0.39264,                  1.014,                0.36705,                0.73327,                0.47486,                0.55983,                0.31822,                0.40663,                 1.0517,                0.44007,                 0.0001,                 0.0001,                 0.0001
                     54,                0.39487,                0.98282,                0.37619,                0.73035,                0.48566,                0.56238,                0.32159,                 0.4077,                 1.0429,                0.44106,                 0.0001,                 0.0001,                 0.0001
                     55,                0.39798,                0.98039,                0.38318,                 0.7266,                 0.4889,                0.56465,                0.32306,                0.40578,                 1.0381,                0.44186,                 0.0001,                 0.0001,                 0.0001
