                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4878,                  0.724,                  2.452,                0.33572,                0.02657,                0.00624,                0.00102,                  1.534,                 0.5907,                 2.6016,               0.082068,              1.795e-05,              1.795e-05
                      2,                 1.4281,                0.57981,                 2.2735,                 0.3335,                0.09179,                0.00108,                0.00021,                 1.4392,                0.66745,                 2.4743,               0.064086,              3.595e-05,              3.595e-05
                      3,                 1.3531,                0.65437,                 2.0609,                0.50975,                0.11147,                0.01214,                0.00245,                 1.3824,                0.64368,                 2.2683,               0.046104,              5.395e-05,              5.395e-05
                      4,                  1.224,                0.71821,                 1.7867,                0.41506,                0.25831,                0.09132,                 0.0261,                0.90539,                0.94917,                 1.2814,               0.028122,              7.195e-05,              7.195e-05
                      5,                0.95462,                0.87151,                 1.2112,                 0.2963,                 0.2297,                0.08517,                0.02253,                0.90332,                0.90964,                 1.1721,                0.01014,              8.995e-05,              8.995e-05
                      6,                0.89673,                0.88908,                 1.0747,                0.05827,                0.15358,                0.04531,                0.01445,                0.90765,                 1.0283,                 1.2178,                 0.0001,                 0.0001,                 0.0001
                      7,                 0.7557,                 1.0393,                0.80171,                0.16807,                0.32495,                0.17104,                0.06338,                0.69706,                 1.0945,                0.79848,                 0.0001,                 0.0001,                 0.0001
                      8,                0.67574,                  1.117,                0.70263,                0.36908,                0.27632,                0.17554,                0.07121,                0.67618,                 1.1144,                0.78459,                 0.0001,                 0.0001,                 0.0001
                      9,                0.63402,                 1.1778,                0.63412,                0.30012,                0.37013,                0.25301,                0.10835,                0.54093,                 1.2515,                0.59466,                 0.0001,                 0.0001,                 0.0001
                     10,                0.59661,                 1.2151,                0.57876,                0.33851,                 0.2893,                0.22044,                0.09495,                0.54174,                 1.2554,                0.60811,                 0.0001,                 0.0001,                 0.0001
